Num Nodes,Num Models,Num Requests,Stress Level,Alpha,Mean Latency,Median Latency,Min Latency,Max Latency,Standard Deviation,Warm,Cold,Download,Evict,50th Percentile,90th Percentile,95th Percentile,99th Percentile
2000,100000,100000,100.0,2.2,5.88,0.06,0.05,211.29,24.38,93078,6628,294,0,0.06,0.26,44.06,148.2
2000,100000,100000,100.0,1.1,62.84,56.08,0.05,211.29,63.82,43388,55447,1165,0,56.08,158.25,170.27,182.29
2,100000,100000,0.1,2.2,37.3,0.18,0.06,204.28,56.38,67395,32583,6,16,0.18,140.22,140.22,164.26
2,100000,100000,0.1,1.1,119.86,127.17,0.05,286.67,54.09,5574,47032,13232,34162,127.17,183.25,197.27,211.29
