Num Nodes,Num Models,Num Requests,Stress Level,Alpha,Mean Latency,Median Latency,Min Latency,Max Latency,Standard Deviation,Warm,Cold,Download,Evict,50th Percentile,90th Percentile,95th Percentile,99th Percentile
2,10000,1000,10.0,1.1,2558.61,2551.39,43.05,5122.23,1458.43,81,323,145,451,2551.39,4552.31,4836.58,5053.17
2,10000,1000,10.0,1.6,1308.08,1292.17,50.07,2706.13,711.45,664,232,23,81,1292.17,2300.65,2453.16,2578.53
2,10000,1000,10.0,2.2,568.35,613.51,50.07,1072.38,228.13,882,96,3,19,613.51,848.02,892.16,972.52
2,10000,1000,10.0,4.0,174.1,160.7,44.06,418.23,56.82,923,74,0,3,160.7,270.79,279.38,283.6
2,10000,100000,0.2,0.0,50037.44,49824.33,38.05,101077.24,29586.63,104,6323,23366,70207,49824.33,91622.05,96439.4,100081.52
2,10000,100000,0.2,1.1,41251.1,41729.86,19.71,81913.66,23191.63,8635,31761,14323,45281,41729.86,72753.18,77495.79,80994.52
2,10000,100000,0.2,1.6,57.89,0.28,0.05,351.19,72.65,57908,39946,523,1623,0.28,176.28,176.28,213.25
2,10000,100000,0.2,2.2,23.72,0.15,0.05,211.29,47.78,78408,21567,7,18,0.15,122.19,146.23,152.24
2,10000,100000,0.2,4.0,7.05,0.2,0.08,176.28,25.94,92571,7428,0,1,0.2,0.2,56.08,128.2
2,10000,100000,1.0,0.0,252644.78,252643.62,38.05,505369.8,145950.66,110,6227,23302,70361,252643.62,454749.63,480078.14,500412.67
2,10000,100000,1.0,1.1,231065.43,231224.82,44.06,461526.09,133293.91,8786,31476,14762,44976,231224.82,415468.35,438429.51,457014.15
2,10000,100000,1.0,1.6,43000.4,42512.72,0.06,86057.25,24939.48,67670,24551,1868,5911,42512.72,77726.07,82156.64,85270.16
2,10000,100000,1.0,2.2,18.09,0.2,0.07,414.7,44.24,90479,9256,62,203,0.2,80.12,134.18,180.67
2,10000,100000,1.0,4.0,4.0,0.28,0.05,294.46,22.2,96889,3109,0,2,0.28,0.28,0.28,173.45
2,10000,100000,10.0,0.0,295844.74,296193.85,50.06,592130.3,170833.65,111,6219,23336,70334,296193.85,532780.3,562195.31,585984.0
2,10000,100000,10.0,1.1,267349.57,267520.61,38.05,536438.86,154807.43,8697,31059,15069,45175,267520.61,482070.28,509187.64,530656.55
2,10000,100000,10.0,1.6,91003.01,90368.4,38.05,183765.74,53022.42,69231,23037,1754,5978,90368.4,164883.22,174343.44,181649.82
2,10000,100000,10.0,2.2,48686.36,48794.03,50.07,95423.3,27584.45,89762,8961,281,996,48794.03,87025.08,90934.11,94487.84
2,10000,100000,10.0,4.0,3531.24,4077.36,137.65,5537.19,1465.52,99258,706,7,29,4077.36,5021.97,5169.3,5349.5
2,100000,1000,0.2,0.0,839.67,785.94,43.05,1615.2,379.65,0,8,257,735,785.94,1369.0,1460.08,1555.56
2,100000,1000,0.2,1.1,435.13,427.62,44.06,896.99,202.21,87,280,152,481,427.62,726.38,790.45,848.78
2,100000,1000,0.2,1.6,56.08,2.1,0.06,280.93,68.13,563,408,7,22,2.1,176.28,182.29,225.92
2,100000,1000,0.2,2.2,24.65,0.25,0.08,183.25,46.91,762,235,1,2,0.25,122.19,122.19,158.25
2,100000,1000,0.2,4.0,9.62,0.13,0.13,170.27,33.85,922,78,0,0,0.13,0.13,86.13,146.23
2,100000,1000,1.0,0.0,2630.49,2714.11,43.05,5276.46,1512.95,0,3,253,744,2714.11,4698.65,4957.27,5206.39
2,100000,1000,1.0,1.1,2251.69,2301.97,43.05,4308.41,1221.97,93,284,169,454,2301.97,3905.55,4103.85,4214.51
2,100000,1000,1.0,1.6,296.15,291.09,38.05,695.86,131.7,688,226,18,68,291.09,452.9,504.44,623.84
2,100000,1000,1.0,2.2,202.24,195.38,116.34,428.6,51.84,875,98,8,19,195.38,250.94,305.52,392.99
2,100000,1000,1.0,4.0,10.96,0.12,0.07,254.04,28.96,926,72,0,2,0.12,59.01,80.12,128.2
2,100000,1000,10.0,0.0,3002.49,3058.47,43.05,6045.83,1739.8,0,11,249,740,3058.47,5411.57,5718.14,5911.56
2,100000,1000,10.0,1.1,3063.0,3056.28,38.05,6162.31,1758.35,85,256,159,500,3056.28,5491.87,5776.99,6064.21
2,100000,1000,10.0,1.6,1051.3,1036.17,56.08,2065.51,526.14,688,219,23,70,1036.17,1818.63,1882.68,1995.89
2,100000,1000,10.0,2.2,386.5,398.38,44.06,903.16,170.56,873,102,3,22,398.38,629.81,693.33,791.35
2,100000,1000,10.0,4.0,485.95,525.04,174.21,800.96,114.66,958,35,0,7,525.04,592.24,594.49,596.83
2,100000,100000,0.2,0.0,55335.56,55614.96,43.05,109498.24,31562.93,9,579,24643,74769,55614.96,98845.61,104632.74,108352.42
2,100000,100000,0.2,1.1,23675.47,23375.23,44.06,46709.22,13538.54,8569,27272,15723,48436,23375.23,42488.68,45075.4,46069.42
2,100000,100000,0.2,1.6,47.7,0.23,0.05,256.26,61.35,57525,41131,373,971,0.23,146.23,158.25,182.29
2,100000,100000,0.2,2.2,19.24,0.1,0.06,182.29,40.16,79552,20439,3,6,0.1,98.15,110.17,152.24
2,100000,100000,0.2,4.0,6.92,0.12,0.07,176.28,25.7,93176,6824,0,0,0.12,0.12,80.12,116.18
2,100000,100000,1.0,0.0,254224.56,254735.36,38.05,508411.7,146737.28,7,594,24893,74506,254735.36,457281.38,482953.0,503078.24
2,100000,100000,1.0,1.1,213158.74,212695.06,38.05,425086.3,122378.61,8875,28571,15882,46672,212695.06,382676.7,403875.92,420801.31
2,100000,100000,1.0,1.6,64782.27,65030.83,44.06,129546.08,37631.42,67070,25002,1999,5929,65030.83,116355.96,123241.91,128113.73
2,100000,100000,1.0,2.2,905.3,761.62,0.05,2253.02,533.47,87786,10984,257,973,761.62,1742.05,1850.21,2020.06
2,100000,100000,1.0,4.0,2.52,0.16,0.08,176.28,14.82,97340,2658,0,2,0.16,0.16,0.16,104.16
2,100000,100000,10.0,0.0,299333.72,299190.97,43.05,599084.92,172877.48,9,592,24597,74802,299190.97,538903.65,568856.29,592920.77
2,100000,100000,10.0,1.1,284916.35,284686.13,43.05,569692.13,164125.0,8567,28319,14868,48246,284686.13,512815.67,540898.99,564145.75
2,100000,100000,10.0,1.6,101917.48,101593.64,44.06,204847.16,59185.92,67836,24055,1794,6315,101593.64,184368.97,194745.21,202619.05
2,100000,100000,10.0,2.2,45703.15,46679.58,50.07,91285.66,26847.28,90208,8550,293,949,46679.58,82857.15,86666.74,90403.61
2,100000,100000,10.0,4.0,1065.97,1055.1,5.79,2121.24,447.06,99464,497,9,30,1055.1,1633.21,1765.67,1930.83
20,1000,1000,0.2,0.0,108.5,104.16,0.07,182.29,44.86,10,990,0,0,104.16,170.27,176.28,182.29
20,1000,1000,0.2,1.1,104.25,110.17,0.1,182.29,50.96,92,908,0,0,110.17,170.27,182.29,182.29
20,1000,1000,0.2,1.6,43.64,0.27,0.06,182.29,58.67,583,417,0,0,0.27,146.23,170.27,182.29
20,1000,1000,0.2,2.2,23.57,0.12,0.05,182.29,47.86,762,238,0,0,0.12,128.2,140.22,170.33
20,1000,1000,0.2,4.0,8.2,0.12,0.1,158.25,27.35,915,85,0,0,0.12,0.18,80.12,116.18
20,1000,1000,1.0,0.0,99.61,98.15,0.05,182.29,49.01,60,940,0,0,98.15,164.26,176.28,182.29
20,1000,1000,1.0,1.1,89.07,98.15,0.05,204.28,60.74,220,774,6,0,98.15,170.27,176.28,182.29
20,1000,1000,1.0,1.6,42.98,0.24,0.05,211.29,63.3,649,332,19,0,0.24,152.24,170.27,182.29
20,1000,1000,1.0,2.2,23.61,0.12,0.11,197.27,50.22,797,196,7,0,0.12,104.16,170.27,182.29
20,1000,1000,1.0,4.0,3.2,0.05,0.05,110.17,14.84,946,54,0,0,0.05,0.13,38.05,98.15
20,1000,1000,10.0,0.0,241.52,236.58,38.05,548.27,129.8,71,442,487,0,236.58,420.44,467.76,526.56
20,1000,1000,10.0,1.1,194.45,176.28,38.05,453.2,95.37,217,406,377,0,176.28,334.73,366.47,425.95
