Num Nodes,Num Models,Num Requests,Stress Level,Alpha,Mean Latency,Median Latency,Min Latency,Max Latency,Standard Deviation,Warm,Cold,Download,Evict,50th Percentile,90th Percentile,95th Percentile,99th Percentile
2,10000,1000,10.0,1.6,550.61,574.5,22.46,1179.68,312.55,726,186,23,65,574.5,978.12,1045.43,1094.0
2,10000,1000,10.0,2.2,403.05,460.85,36.92,807.74,186.25,877,96,4,23,460.85,631.84,688.92,708.33
2,10000,1000,10.0,4.0,154.62,164.67,27.28,234.09,31.16,957,41,0,2,164.67,178.31,180.88,184.79
2,10000,100000,0.2,0.0,66.18,65.97,0.05,214.3,26.16,122,10464,24912,64502,65.97,101.39,106.89,122.56
2,10000,100000,0.2,1.1,54.29,55.74,0.05,161.01,28.1,9361,44631,12536,33472,55.74,93.25,100.07,106.89
2,10000,100000,0.2,1.6,20.47,0.25,0.05,106.89,26.97,59980,38939,299,782,0.25,65.84,70.66,75.48
2,10000,100000,0.2,2.2,11.03,0.29,0.05,123.06,22.98,79231,20743,7,19,0.29,53.79,68.25,77.89
2,10000,100000,0.2,4.0,4.45,0.15,0.05,77.89,16.23,92897,7103,0,0,0.15,0.15,44.15,77.89
2,10000,100000,1.0,0.0,146228.59,146546.05,25.05,292188.01,84379.53,144,6055,23576,70225,146546.05,263138.85,277669.75,289407.07
2,10000,100000,1.0,1.1,133456.24,133903.33,20.05,266121.03,76855.33,11463,29923,14370,44244,133903.33,239600.95,252933.08,263463.26
2,10000,100000,1.0,1.6,10864.43,11005.33,27.28,21357.21,6225.8,75595,16778,1713,5914,11005.33,19438.9,20282.02,21004.08
2,10000,100000,1.0,2.2,5.79,0.21,0.06,184.73,17.77,91116,8796,20,68,0.21,10.13,58.61,75.48
2,10000,100000,1.0,4.0,1.58,0.14,0.1,149.21,9.04,97378,2618,0,4,0.14,0.14,0.28,48.97
2,10000,100000,10.0,0.0,191656.62,191847.42,25.05,383838.39,110777.6,153,6262,23556,70029,191847.42,345372.88,364682.47,379961.24
2,10000,100000,10.0,1.1,152278.69,152640.72,20.05,304431.63,87836.59,12349,28362,14478,44811,152640.72,273992.91,289116.9,301226.86
2,10000,100000,10.0,1.6,52552.1,52718.59,22.46,104915.32,30137.47,76269,16002,1668,6061,52718.59,94176.15,99546.11,103901.53
2,10000,100000,10.0,2.2,20386.74,20558.25,29.69,40165.74,11827.86,92738,5931,239,1092,20558.25,36682.61,38367.77,39764.81
2,10000,100000,10.0,4.0,1865.75,2021.24,36.28,3084.99,836.39,99450,507,7,36,2021.24,2888.14,2942.84,2984.8
2,100000,1000,0.2,0.0,72.13,72.79,24.87,172.17,30.53,0,11,280,709,72.79,106.89,125.56,153.01
2,100000,1000,0.2,1.1,53.53,56.2,0.07,126.15,28.17,94,430,135,341,56.2,93.25,100.07,106.89
2,100000,1000,0.2,1.6,20.51,0.21,0.06,103.48,27.97,615,377,1,7,0.21,65.84,75.48,75.48
2,100000,1000,0.2,2.2,12.31,0.15,0.09,77.89,24.53,783,217,0,0,0.15,68.25,70.66,77.89
2,100000,1000,0.2,4.0,4.31,0.15,0.15,73.07,14.8,921,79,0,0,0.15,0.15,44.15,65.84
2,100000,1000,1.0,0.0,1529.08,1501.6,25.05,3078.04,878.43,0,3,249,748,1501.6,2740.2,2886.0,3033.16
2,100000,1000,1.0,1.1,1338.43,1323.13,20.05,2644.54,749.24,117,250,165,468,1323.13,2375.09,2490.15,2591.48
2,100000,1000,1.0,1.6,16.74,0.19,0.05,136.88,25.53,744,207,12,37,0.19,57.56,71.66,99.98
2,100000,1000,1.0,2.2,6.93,0.16,0.05,93.25,17.12,855,140,0,5,0.16,46.56,51.38,68.25
2,100000,1000,1.0,4.0,3.83,0.22,0.19,86.35,13.11,952,46,0,2,0.22,4.53,29.26,61.02
2,100000,1000,10.0,0.0,1924.9,1926.93,25.05,3875.61,1116.19,1,4,247,748,1926.93,3455.3,3641.4,3785.78
2,100000,1000,10.0,1.1,1675.53,1678.97,20.05,3346.4,947.89,119,256,161,464,1678.97,2971.27,3137.32,3273.6
2,100000,1000,10.0,1.6,394.16,397.08,20.05,863.32,220.68,745,177,21,57,397.08,700.11,747.47,779.86
2,100000,1000,10.0,2.2,257.27,249.27,22.46,564.16,125.57,862,108,7,23,249.27,426.59,463.21,479.44
2,100000,1000,10.0,4.0,321.81,363.64,46.56,498.66,106.08,957,38,0,5,363.64,420.32,424.92,428.92
2,100000,100000,0.2,0.0,68.4,69.38,0.07,191.46,26.21,18,1008,27356,71618,69.38,103.48,106.89,127.62
2,100000,100000,0.2,1.1,51.93,51.38,0.05,152.78,28.32,9914,42075,13407,34604,51.38,89.84,100.07,106.89
2,100000,100000,0.2,1.6,21.66,0.24,0.06,106.89,28.42,60351,38562,301,786,0.24,65.84,70.66,77.89
2,100000,100000,0.2,2.2,11.78,0.26,0.05,139.08,24.33,79140,20843,6,11,0.26,65.84,77.89,77.89
2,100000,100000,0.2,4.0,5.9,0.28,0.09,103.48,19.27,92006,7993,0,1,0.28,0.28,73.07,75.48
2,100000,100000,1.0,0.0,149353.23,149497.24,25.05,298394.13,86047.34,13,623,25513,73851,149497.24,268558.31,283376.97,295519.84
2,100000,100000,1.0,1.1,128882.38,129174.44,20.05,257494.05,74303.92,11321,25595,15536,47548,129174.44,231675.56,244606.83,254923.91
2,100000,100000,1.0,1.6,10885.68,10394.74,0.12,22655.88,6443.28,74731,17614,1808,5847,10394.74,19976.1,21637.71,22322.21
2,100000,100000,1.0,2.2,4.43,0.08,0.05,106.89,14.86,91008,8970,6,16,0.08,0.29,44.15,75.48
2,100000,100000,1.0,4.0,1.89,0.27,0.05,143.43,9.76,97156,2841,0,3,0.27,0.27,0.27,65.84
2,100000,100000,10.0,0.0,193507.56,193735.26,25.05,386877.06,111700.03,12,596,25247,74145,193735.26,348270.24,367643.73,382962.32
2,100000,100000,10.0,1.1,176757.63,177038.66,24.87,353259.83,101963.71,11485,25510,15224,47781,177038.66,317738.67,335485.55,349796.23
2,100000,100000,10.0,1.6,52758.52,52834.56,36.92,105645.59,30470.74,75118,17202,1693,5987,52834.56,95018.09,100229.58,104520.37
2,100000,100000,10.0,2.2,15361.61,15266.15,20.05,30910.91,8954.15,93320,5455,317,908,15266.15,27637.36,28980.64,30539.64
2,100000,100000,10.0,4.0,3189.51,3088.48,28.4,6802.77,1720.62,99129,828,5,38,3088.48,5422.72,6104.04,6674.34
20,1000,1000,0.2,0.0,48.36,48.97,0.05,77.89,17.73,10,990,0,0,48.97,73.07,75.48,77.89
20,1000,1000,0.2,1.1,43.92,46.56,0.05,77.89,22.79,96,904,0,0,46.56,73.07,75.48,77.89
20,1000,1000,0.2,1.6,18.4,0.29,0.07,77.89,25.41,626,374,0,0,0.29,61.02,70.66,77.89
20,1000,1000,0.2,2.2,10.8,0.06,0.06,77.89,21.49,788,212,0,0,0.06,56.2,61.02,73.07
20,1000,1000,0.2,4.0,6.76,0.26,0.26,96.66,20.69,904,95,1,0,0.26,0.29,70.66,77.89
20,1000,1000,1.0,0.0,46.96,48.97,0.05,77.89,20.06,52,948,0,0,48.97,73.07,75.48,77.89
20,1000,1000,1.0,1.1,38.08,39.33,0.05,106.89,26.11,232,766,2,0,39.33,73.07,77.89,77.89
20,1000,1000,1.0,1.6,12.11,0.11,0.05,77.89,22.23,739,261,0,0,0.11,51.38,65.84,75.48
20,1000,1000,1.0,2.2,9.95,0.26,0.08,103.48,23.65,843,150,7,0,0.26,66.32,70.66,75.48
20,1000,1000,1.0,4.0,7.43,0.28,0.09,103.48,22.21,902,90,8,0,0.28,0.28,75.48,75.48
20,1000,1000,10.0,0.0,124.83,118.59,20.05,284.91,69.99,103,407,490,0,118.59,228.72,248.31,271.79
20,1000,1000,10.0,1.1,93.17,77.89,0.06,242.19,48.83,250,395,355,0,77.89,162.76,173.57,211.95
20,1000,1000,10.0,1.6,60.43,61.02,20.05,166.06,22.03,625,269,106,0,61.02,77.55,102.49,151.63
20,1000,1000,10.0,2.2,77.16,77.89,20.05,177.94,16.35,744,203,53,0,77.89,89.42,97.46,152.82
20,1000,1000,10.0,4.0,17.11,0.14,0.07,96.66,20.98,596,383,21,0,0.14,41.74,41.74,55.74
20,1000,100000,0.2,0.0,48.25,48.97,0.05,77.89,18.06,1184,98816,0,0,48.97,73.07,75.48,77.89
20,1000,100000,0.2,1.1,42.33,41.74,0.05,77.89,21.33,10431,89569,0,0,41.74,70.66,75.48,77.89
20,1000,100000,0.2,1.6,22.62,0.26,0.05,96.66,29.22,59891,40108,1,0,0.26,70.66,75.48,77.89
20,1000,100000,0.2,2.2,8.64,0.1,0.05,77.89,18.04,80467,19533,0,0,0.1,48.97,48.97,56.2
