Num Nodes,Num Models,Num Requests,Stress Level,Alpha,Mean Latency,Median Latency,Min Latency,Max Latency,Standard Deviation,Warm,Cold,Download,Evict,50th Percentile,90th Percentile,95th Percentile,99th Percentile
2,10000,100000,0.2,4.0,0.51,0.22,0.07,4.97,1.06,92890,7110,0,0,0.22,0.22,4.42,4.86
2,10000,100000,1.0,0.0,70206.67,70320.38,2.77,140444.11,40643.21,254,6379,23410,69957,70320.38,126485.01,133463.84,139124.85
2,10000,100000,1.0,1.1,46789.72,46893.16,0.1,93408.03,26975.81,17154,24577,14612,43657,46893.16,84004.41,88699.81,92457.48
2,10000,100000,1.0,1.6,1.11,0.18,0.05,37.21,2.78,80017,18859,296,828,0.18,3.98,4.75,10.88
2,10000,100000,1.0,2.2,0.51,0.22,0.05,34.19,1.05,92376,7608,3,13,0.22,0.29,3.76,4.64
2,10000,100000,1.0,4.0,0.36,0.27,0.11,5.08,0.61,97726,2274,0,0,0.27,0.27,0.27,4.86
2,10000,100000,10.0,0.0,115826.29,116032.42,2.88,232006.59,66952.63,246,6163,23388,70203,116032.42,208585.78,220228.1,229586.65
2,10000,100000,10.0,1.1,91423.93,91533.43,2.55,182411.04,52746.82,16969,24784,14526,43721,91533.43,164333.21,173405.2,180528.1
2,10000,100000,10.0,1.6,25569.2,25558.44,0.08,51446.08,14786.07,81639,11676,1584,5101,25558.44,46089.21,48802.36,50873.18
2,10000,100000,10.0,2.2,8879.18,8741.47,0.06,17788.27,5102.45,95227,3661,255,857,8741.47,15951.92,16951.66,17667.65
2,10000,100000,10.0,4.0,0.09,0.06,0.05,5.19,0.26,99595,405,0,0,0.06,0.06,0.24,0.24
2,100000,1000,0.2,0.0,20.6,20.87,2.55,34.19,8.34,0,12,294,694,20.87,31.97,33.14,34.19
2,100000,1000,0.2,1.1,11.22,5.08,0.07,34.19,10.46,119,432,120,329,5.08,28.64,31.97,34.19
2,100000,1000,0.2,1.6,1.62,0.15,0.06,31.97,2.71,641,351,2,6,0.15,4.31,4.53,5.08
2,100000,1000,0.2,2.2,0.77,0.08,0.08,5.19,1.48,822,178,0,0,0.08,3.54,4.2,5.08
2,100000,1000,0.2,4.0,0.33,0.11,0.11,4.86,0.88,942,58,0,0,0.11,0.11,3.21,3.98
2,100000,1000,1.0,0.0,731.58,725.86,3.43,1469.92,419.69,1,4,250,745,725.86,1319.78,1383.1,1448.51
2,100000,1000,1.0,1.1,541.39,554.62,0.08,1071.02,324.48,158,220,144,478,554.62,993.38,1028.5,1058.87
