Timestamp,StatusCode,E2ELatency
1,200,34.776
1,200,36.478
1,200,35.552
1,200,36.008
1,200,37.313
1,200,35.39
1,200,35.723
1,200,35.157
1,200,36.295
1,200,34.525
1,200,31.444
1,200,32.088
1,200,31.84
1,200,31.306
1,200,31.459
1,200,31.384
1,200,30.797
1,200,30.54
1,200,30.013
1,200,30.003
1,200,29.549
1,200,29.1
1,200,28.919
1,200,28.337
1,200,27.938
1,200,27.328
1,200,27.068
1,200,26.5
1,200,26.577
1,200,26.119
1,200,25.602
1,200,25.142
1,200,24.915
1,200,24.253
1,200,24.001
1,200,23.408
1,200,22.948
1,200,22.519
1,200,22.613
1,200,22.114
1,200,21.565
1,200,21.013
1,200,20.801
1,200,20.336
1,200,19.972
1,200,19.544
1,200,18.917
1,200,18.479
1,200,18.605
1,200,18.085
1,200,17.444
1,200,17.029
1,200,16.726
1,200,16.318
1,200,15.916
1,200,15.461
1,200,14.971
1,200,14.494
1,200,14.542
1,200,14.087
1,200,13.505
1,200,12.938
1,200,12.706
1,200,12.341
1,200,11.974
1,200,11.426
1,200,10.911
1,200,10.396
1,200,10.78
1,200,10.02
1,200,9.462
1,200,9.164
1,200,8.743
1,200,8.301
1,200,7.921
1,200,7.576
1,200,6.876
1,200,6.4
1,200,6.596
1,200,6.051
1,200,5.753
1,200,5.177
1,200,4.732
1,200,4.272
1,200,4.013
1,200,3.436
1,200,2.969
1,200,2.409
1,200,2.49
1,200,2.723
1,200,1.685
1,200,1.498
1,200,1.487
1,200,1.429
1,200,1.469
1,200,1.468
1,200,1.551
1,200,1.457
1,200,1.467
1,200,1.448
1,200,1.429
1,200,1.473
1,200,1.411
1,200,1.413
1,200,1.49
1,200,1.432
1,200,1.42
1,200,1.492
1,200,1.45
1,200,1.415
2,200,1.458
2,200,1.423
2,200,1.404
2,200,1.475
2,200,1.431
2,200,1.421
2,200,1.439
2,200,1.454
2,200,1.431
2,200,1.435
2,200,1.445
2,200,1.425
2,200,1.495
2,200,1.455
2,200,1.424
2,200,1.528
2,200,1.44
2,200,1.441
2,200,1.475
2,200,1.44
2,200,1.456
2,200,1.458
2,200,1.423
2,200,1.397
2,200,1.445
2,200,1.461
2,200,1.386
2,200,1.443
2,200,1.433
2,200,1.4
2,200,1.515
2,200,1.446
2,200,1.389
2,200,1.507
2,200,1.395
2,200,1.401
2,200,1.472
2,200,1.419
2,200,1.418
2,200,1.492
2,200,1.412
2,200,1.439
2,200,1.514
2,200,1.426
2,200,1.408
2,200,1.457
2,200,1.433
2,200,1.409
2,200,1.433
2,200,1.418
2,200,1.42
2,200,1.452
2,200,1.425
2,200,1.562
2,200,1.484
2,200,1.571
2,200,1.438
2,200,1.494
2,200,1.546
2,200,1.414
2,200,1.759
2,200,1.422
2,200,1.423
2,200,1.555
2,200,1.415
2,200,1.413
2,200,1.529
2,200,1.425
2,200,1.431
2,200,1.483
2,200,1.405
2,200,1.496
2,200,1.533
2,200,1.424
2,200,1.407
2,200,1.516
2,200,1.391
2,200,1.432
2,200,1.529
2,200,1.453
2,200,1.379
2,200,1.544
2,200,1.43
2,200,1.387
2,200,1.522
2,200,1.485
2,200,1.373
2,200,1.531
