Event,Duration
Storage Init,6.0
Kserve Container Init,1.0
First Log,1.288
Load Config,0.146
Unzip Model Archive,3.9
Setup Model Dependency,3.005
Start Torch Worker,2.494
Worker Load Model,1.087
Service Ready,0.004
Total,18.924
Total App,10.636
