Event,Duration
Storage Init,7.0
Kserve Container Init,1.0
First Log,1.573
Load Config,0.16
Unzip Model Archive,323.829
Setup Model Dependency,130.834
Start Torch Worker,2.01
Worker Load Model,22.256
Service Ready,0.004
Total,488.666
Total App,479.093
