Event,Duration
Storage Init,6.0
Kserve Container Init,1.0
First Log,1.609
Load Config,0.296
Unzip Model Archive,0.013
Setup Model Dependency,0.0
Start Torch Worker,2.114
Service Ready,0.291
Total,11.323
Worker Init,2.184
Worker Load Model,0.526
Total,2.71
Total App,2.714
