Func,Calls,Time,Percent
TensorBase.copy(),559,76.35,87.484
TensorBase.uniform(),432,4.538,5.2
TensorBase.normal(),438,4.257,4.878
load_tensor(),557,1.748,2.003
OrderedDict.value(),3910,0.197,0.226
Other,0,0.183,0.21
Total,0,87.273,100
