Profiling load_model_state_dict...
         230787 function calls (207449 primitive calls) in 10.540 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1988    0.002    0.000    0.004    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/autograd/grad_mode.py:183(__init__)
      557    0.001    0.000    0.004    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/nn/parameter.py:34(__new__)
      994    0.001    0.000    0.004    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/autograd/grad_mode.py:83(__exit__)
4014/4013    0.002    0.000    0.004    0.000 {built-in method builtins.getattr}
    27089    0.004    0.000    0.004    0.000 {method 'startswith' of 'str' objects}
     4465    0.003    0.000    0.003    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/nn/modules/module.py:2322(named_children)
      170    0.000    0.000    0.003    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/nn/modules/dropout.py:13(__init__)
      557    0.003    0.000    0.003    0.000 {built-in method _make_subclass}
      994    0.001    0.000    0.003    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/autograd/grad_mode.py:79(__enter__)
      432    0.001    0.000    0.003    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/nn/init.py:396(_calculate_correct_fan)
      557    0.000    0.000    0.002    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/utils/_pytree.py:841(tree_leaves)
    16271    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
3036/3025    0.002    0.000    0.002    0.000 /home/jw/.local/lib/python3.8/site-packages/transformers/configuration_utils.py:261(__getattribute__)
      557    0.001    0.000    0.002    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/utils/_pytree.py:823(_tree_leaves_helper)
        1    0.000    0.000    0.002    0.002 /home/jw/.local/lib/python3.8/site-packages/transformers/models/auto/configuration_auto.py:833(from_pretrained)
      559    0.002    0.000    0.002    0.000 {method 'set_' of 'torch._C.TensorBase' objects}
      122    0.002    0.000    0.002    0.000 {built-in method torch.ones}
      432    0.001    0.000    0.002    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/nn/init.py:315(_calculate_fan_in_and_fan_out)
     1114    0.001    0.000    0.002    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/storage.py:581(__init__)
      994    0.001    0.000    0.001    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/autograd/grad_mode.py:74(__init__)
     1114    0.001    0.000    0.001    0.000 /home/jw/.local/lib/python3.8/site-packages/torch/storage.py:509(__new__)
