Event,Duration
Storage Init,5.0
Kserve Container Init,1.0
First Log,1.812
Load Config,0.159
Unzip Model Archive,763.521
Setup Model Dependency,177.577
Start Torch Worker,2.022
Worker Load Model,219.493
Service Ready,0.005
Total,1170.589
Total App,1162.777
